Species,SampleID,d13C,C_ug,d15N,N_ug,CN_ratio,d34S
Atlantic Bumper,AB01,-18.77,568.24,15.62,179.04,3.173769009,16.84
Atlantic Bumper,AB02,-18.17,639.26,15.51,203.06,3.14814499,16.54
Atlantic Bumper,AB03,-17.89,608.93,15.58,191.83,3.174336773,17.22
Atlantic Bumper,AB04,-17.73,503.81,15.14,160.89,3.13137042,19.43
Atlantic Bumper,AB05,-18.14,527.68,13.76,169.98,3.104303175,18.53
Atlantic Bumper,AB06,-17.54,527.68,13.42,169.23,3.11817991,16.83
Atlantic Bumper,AB07,-17.75,580.75,15.05,185.07,3.138036934,16.18
Atlantic Bumper,AB08,-20.58,507.96,13.15,160.13,3.172115982,15.73
Atlantic Bumper,AB09,-18.27,571.37,14.8,182.06,3.138399563,16.06
Atlantic Bumper,AB10,-17.16,572.58,15.31,180.5,3.172252169,16.54
Atlantic Bumper,AB11,-18,550.34,15.01,174.51,3.153707308,16.13
Atlantic Bumper,AB12,-18.03,561.45,14.9,176,3.190004303,15.36
Atlantic Croaker,AC01,-16.81,613.11,15.09,197.07,3.111035697,15.42
Atlantic Croaker,AC02,-17.38,594.31,15.11,189.58,3.134929099,15.41
Atlantic Croaker,AC03,-18.05,623.56,14.53,200.82,3.105134847,14.36
Atlantic Croaker,AC04,-17.8,546.38,14.35,176.03,3.103991558,14.9
Atlantic Croaker,AC05,-18.5,532.87,14.23,170.74,3.120974804,14.99
Atlantic Croaker,AC06,-18.34,549.51,14.4,176.03,3.121718809,15.68
Atlantic Croaker,AC07,-18.69,530.79,13.9,169.98,3.122635959,12.82
Atlantic Croaker,AC08,-18.8,528.72,14.24,166.96,3.166809785,12.99
Atlantic Croaker,AC09,-18.52,556.79,13.18,175.27,3.176719347,13.01
Atlantic Croaker,AC10,-18.2,551.35,13.83,175.25,3.145983462,12.51
Atlantic Croaker,AC11,-18.42,630.39,13.85,201.37,3.130494416,12.84
Atlantic Croaker,AC12,-18.48,552.36,13.91,175.25,3.151747323,12.13
Atlantic Croaker,AC13,-17.51,506.98,14.56,160.98,3.149312487,14.08
Atlantic Croaker,AC14,-18.03,571.57,14.57,182.74,3.127769542,15.05
Atlantic Croaker,AC15,-17.42,527.13,14.37,168.5,3.128319999,14.32
Atlantic Croaker,AC16,-25.11,482.85,13.73,152.69,3.162330542,9.58
Atlantic Croaker,AC17,-22.21,562.47,13.33,179,3.142270226,10.13
Atlantic Croaker,AC18,-22.19,544.28,13.84,172.26,3.159721568,11.2
Atlantic Croaker,AC19,-25.25,560.44,15.24,176,3.184260735,10.86
Atlantic Croaker,AC20,-23.34,626.32,14.87,194.68,3.21724964,13.16
Atlantic Croaker,AC21,-23.46,538.22,15.01,167,3.222898343,12.98
Atlantic Croaker,AC22,-21.79,571.57,13.33,183.49,3.11502812,11.59
Atlantic Croaker,AC23,-22.77,515.04,13.82,163.24,3.155090813,11.96
Atlantic Croaker,AC24,-21.46,520.08,13.45,167,3.114221991,12.52
Atlantic Croaker,AC25,-22.04,513.03,14.36,163.99,3.128336173,10.44
Atlantic Croaker,AC26,-22.4,540.24,14.82,173.01,3.122685874,10.51
Atlantic Croaker,AC27,-22.28,522.09,14.92,165.5,3.154686282,9.84
Atlantic Croaker,AC28,-18.09,593.85,12.44,190.95,3.109932705,10.03
Atlantic Croaker,AC29,-19.94,596.89,12.3,191.7,3.113703926,10.31
Atlantic Croaker,AC30,-18.56,565.5,12.89,181.99,3.107270717,10.69
Bay Anchovy,BA01,-20.29,557.83,15.56,172.25,3.238481006,12.26
Bay Anchovy,BA02,-23.15,468.6,13.53,144.14,3.250918396,15.31
Bay Anchovy,BA03,-17.91,477.91,13.52,148.72,3.213467664,17.28
Bay Anchovy,BA04,-21.4,525.6,16.2,160.89,3.266808773,17.53
Bay Anchovy,BA05,-20.51,508.99,15.66,154.05,3.304033232,16.15
Bay Anchovy,BA06,-22.28,533.91,14.93,161.65,3.302883783,17.46
Bay Anchovy,BA07,-21.22,580.68,14.84,185.73,3.126483628,17.64
Bay Anchovy,BA08,-22.03,636.49,15.39,202.86,3.137645881,18.08
Bay Anchovy,BA09,-21.35,564.49,14.41,178.25,3.166811006,17.78
Bay Anchovy,BA10,-25.83,533.18,15.81,163.24,3.266224271,14.29
Bay Anchovy,BA11,-23.08,559.43,15.25,173.76,3.219649506,16.36
Bay Anchovy,BA12,-22.8,580.68,15.13,179.75,3.230505518,16.25
Bay Anchovy,BA13,-20.06,552.36,12.52,173.76,3.17894098,16.1
Bay Anchovy,BA14,-23.34,527.13,15.47,167,3.156465872,16.23
Bay Anchovy,BA15,-23.77,659.91,16.13,206.57,3.1946384,16.22
Brown Shrimp,BS01,-14.17,620.42,9,209.77,2.957587277,13.19
Brown Shrimp,BS02,-12.72,518.33,8.16,176.03,2.944625947,9.28
Brown Shrimp,BS03,-14.42,595.35,9.73,200.82,2.964665216,14.48
Gulf Menhaden,GM01,-23.87,584.73,12.32,178.25,3.280360223,15.3
Gulf Menhaden,GM02,-21.48,528.14,13.49,160.98,3.280716329,15.62
Gulf Menhaden,GM03,-24.6,525.11,14.25,164.75,3.187436866,15.42
Northern White Shrimp,WS01,-18.68,536.21,11.82,179,2.995575126,10.46
Northern White Shrimp,WS02,-25.48,537.22,12.37,179,3.001211446,9.27
Northern White Shrimp,WS03,-20.9,587.77,12.34,195.42,3.0076885,11.02
