SampleID,Year,Area,Area.Combined,SL,TL,Sex,Flag,TotalHg_ppm_ww,As_ppm_ww,Cd_ppm_ww,Pb_ppm_ww,Se_ppm_ww
AT051,2014,E_MS_Sound,MissSound,408,509,M,N,0.165007828,0.231461554,0.018528254,0,0.205321375
AT052,2014,E_MS_Sound,MissSound,652,780,F,N,0.111983457,0.33860726,0.053030696,0,0.254435361
AT053,2014,E_MS_Sound,MissSound,390,483,M,N,0.041841724,0.26635634,0.014154937,0,0.126785618
AT054,2014,E_MS_Sound,MissSound,370,465,F,N,0.040528566,0.315226097,0.065519936,0,0.17554874
AT055,2014,E_MS_Sound,MissSound,380,478,M,N,0.042297948,0.264941281,0.023835219,0,0.133382266
AT056,2014,E_MS_Sound,MissSound,430,530,F,N,0.119098324,0.247251853,0.004091377,0,0.2092447
AT058,2014,E_MS_Sound,MissSound,545,666,F,N,0.114179118,0.304122126,0.029592394,0,0.241868498
AT059,2014,E_MS_Sound,MissSound,468,570,M,N,0.076047481,0.322115007,0.005444375,0,0.180207557
AT060,2014,E_MS_Sound,MissSound,390,478,M,N,0.051085606,0.34831363,0.003993555,0,0.147903325
AT062,2014,E_MS_Sound,MissSound,374,463,F,N,0.037320331,0.276650144,0.003444648,0,0.208206491
AT064,2014,E_MS_Sound,MissSound,530,640,F,N,0.062318688,0.221290283,0.037656956,0.43575184,0.473656213
AT065,2014,E_MS_Sound,MissSound,530,634,M,N,0.110846983,0.167409752,0.007968161,0.162472105,0.308015133
AT068,2014,E_MS_Sound,MissSound,610,732,F,N,0.154890777,0.118054921,0.029935903,0.582708389,0.223258238
AT069,2014,E_MS_Sound,MissSound,580,702,F,N,0.068670996,0.08512853,0.013292834,0.271296193,0.138418853
AT070,2014,E_MS_Sound,MissSound,530,649,M,N,0.076383563,0.151472123,0.050391776,1.015679416,0.252276874
AT071,2014,E_MS_Sound,MissSound,462,575,F,N,0.064535292,0.216164206,0.017327908,0.341728758,0.192635341
AT072,2014,E_MS_Sound,MissSound,490,592,M,N,0.102950118,0.136692999,0.013686408,0.288392167,0.27714976
AT073,2014,E_MS_Sound,MissSound,550,673,F,N,0.130720653,0.141357576,0.030347814,0.602724008,0.253935765
AT074,2014,E_MS_Sound,MissSound,572,701,F,N,0.168304359,0.100806968,0.006909888,0.151199396,0.225096497
AT075,2014,E_MS_Sound,MissSound,402,510,M,N,0.099944628,0.298416797,0.016528069,0.275867618,0.352270954
AT076,2014,E_MS_Sound,MissSound,450,554,F,N,0.098816069,0.267446783,0.078003723,1.248974569,0.163994631
AT077,2014,E_MS_Sound,MissSound,445,552,F,N,0.090744043,0.303014816,0.014328765,0.258567231,0.108236974
AT078,2014,E_MS_Sound,MissSound,431,539,F,N,0.071353684,0.258339217,0.080218126,1.263392742,0.129074631
AT082,2015,E_MS_Sound,MissSound,332,418,F,N,0.079227365,0.772706143,0.049546931,0.681270296,0.143158826
AT083,2015,E_MS_Sound,MissSound,380,472,M,N,0.04707875,0.794718336,0.000621741,0.05151569,0.164850207
AT084,2015,E_MS_Sound,MissSound,375,455,F,N,0.054867485,0.73717206,0.003711781,0.084603713,0.127641705
AT085,2015,E_MS_Sound,MissSound,505,611,F,N,0.067721408,0.477072036,0.00104851,0.346663609,0.176652086
AT101,2015,E_MS_Sound,MissSound,425,521,M,N,0.310676384,0.278393131,0.001355507,0.091301978,0.255925988
AT105,2015,E_MS_Sound,MissSound,363,453,F,N,0.032717662,0.242310248,0.00076571,0.07533601,0.230256486
AT106,2015,E_MS_Sound,MissSound,323,409,M,N,0.02777925,0.517302839,0,0.032703053,0.13891365
AT107,2015,E_MS_Sound,MissSound,420,520,F,N,0.049442765,0.381946144,0.003825946,0.12601845,0.170222178
AT109,2015,E_MS_Sound,MissSound,440,544,F,N,0.065918129,0.076417861,0,0.02165198,0.148111655
AT110,2015,E_MS_Sound,MissSound,388,491,M,N,0.034504428,0.235186425,0,0.03194866,0.182518584
AT111,2015,E_MS_Sound,MissSound,410,516,F,N,0.04741081,0.105997597,0.006747898,0.132553354,0.172078901
AT112,2015,E_MS_Sound,MissSound,333,425,F,N,0.043060092,0.195205117,0,0.012209193,0.127855802
AT113,2015,E_MS_Sound,MissSound,370,471,F,N,0.044535346,0.15477121,0,0.006849845,0.139756092
AT114,2015,E_MS_Sound,MissSound,362,461,F,N,0.02602527,0.282227957,0.000868394,0.005495692,0.096552975
AT115,2015,E_MS_Sound,MissSound,380,475,F,N,0.026597048,0.178280106,0.005002451,0.020118289,0.161645451
AT116,2016,E_MS_Sound,MissSound,368,455,F,N,0.040272566,0.294256724,0.002449772,0.046950421,0.117731093
AT117,2016,E_MS_Sound,MissSound,410,501,M,N,0.047394822,0.199225202,0.022685967,0.356677378,0.126283072
AT131,2016,E_MS_Sound,MissSound,565,682,M,N,0.117627615,0.080129552,0.003405312,0,0.16150022
AT132,2016,E_MS_Sound,MissSound,370,463,F,N,0.042467742,0.264609594,0.013845851,0.06702556,0.187022934
AT152,2016,E_MS_Sound,MissSound,590,709,F,N,0.066388337,0.11224851,0.002208279,0.026227557,0.159624583
AT156,2016,E_MS_Sound,MissSound,380,461,M,N,0.05454206,0.371376797,0.003857074,0.029758929,0.277922784
AT157,2016,E_MS_Sound,MissSound,471,584,F,N,0.145186881,0.148279944,0.001964955,0.004652865,0.185558475
AT180,2016,E_MS_Sound,MissSound,482,593,F,N,0.151309612,0.144714196,0,0.006229419,0.174132054
AT185,2016,E_MS_Sound,MissSound,425,524,F,N,0.05660379,0.264059844,0.001218738,0.031741347,0.198058425
AT097,2015,N_Mob_Bay,MobBay,437,542,M,N,0.057515363,0.171538191,0.000198564,0.04932742,0.169343539
AT102,2015,N_Mob_Bay,MobBay,582,697,F,N,0.106861174,0.268139818,0.000130402,0.087695576,0.284407511
AT149,2016,N_Mob_Bay,MobBay,429,515,F,N,0.066964716,0.154145319,0.004067691,0.03480826,0.132665735
AT150,2016,N_Mob_Bay,MobBay,430,525,M,N,0.047265912,0.133983874,0.026480402,0.374110817,0.137558886
AT154,2016,N_Mob_Bay,MobBay,410,500,M,N,0.077749733,0.280823087,0.006088823,0.047754942,0.400934003
AT155,2016,N_Mob_Bay,MobBay,440,530,M,N,0.044590619,0.198277397,0.005289303,0.063786139,0.265308594
AT158,2016,N_Mob_Bay,MobBay,490,602,F,N,0.105984726,0.124354027,0.011491372,0.151479641,0.21355478
AT182,2016,N_Mob_Bay,MobBay,560,669,F,N,0.100573887,0.143218181,0,0.032204227,0.176241791
AT183,2016,N_Mob_Bay,MobBay,520,638,F,N,0.09414749,0.155945739,0,0.00182677,0.169850222
AT067,2014,S_Mob_Bay,MobBay,440,543,F,N,0.055502457,0.118585852,0.026445727,0.523315595,0.159383566
AT104,2015,S_Mob_Bay,MobBay,442,541,M,N,0.069537253,0.191294071,0,0.062076641,0.190014421
AT108,2015,S_Mob_Bay,MobBay,345,434,M,N,0.041785488,0.379895799,0,0.046355676,0.136263612
AT129,2016,S_Mob_Bay,MobBay,365,450,M,N,0.117386234,0.208852673,0.004024335,0,0.119945824
AT130,2016,S_Mob_Bay,MobBay,395,484,F,N,0.036021494,0.360131457,0.010645302,0.230401105,0.114118231
AT142,2016,S_Mob_Bay,MobBay,576,672,F,N,0.148226975,0.123220613,0.003403019,0.028284393,0.179077487
AT143,2016,S_Mob_Bay,MobBay,405,505,F,N,0.045208133,0.123117781,0.002399976,0.014207456,0.163583207
AT151,2016,S_Mob_Bay,MobBay,457,555,M,N,0.037928392,0.262364097,0.001931361,0.007349205,0.184608007
AT159,2016,S_Mob_Bay,MobBay,460,560,F,N,0.205528869,0.126388062,0.002082856,0.017953041,0.152630366
AT164,2016,S_Mob_Bay,MobBay,430,525,M,N,0.04083892,0.263274016,0.001205586,0.002009311,0.202886082
AT165,2016,S_Mob_Bay,MobBay,575,662,M,N,0.083083541,0.168610457,0.002514366,0.004966458,0.154738627
AT166,2016,S_Mob_Bay,MobBay,459,562,F,N,0.041011195,0.208401575,0.027198839,0.343671317,0.199009078
AT168,2016,S_Mob_Bay,MobBay,370,462,M,N,0.085600151,0.130164931,0.001099537,0.080280671,0.278747106
AT169,2016,S_Mob_Bay,MobBay,445,511,F,N,0.052068827,0.358581391,0,0.041170456,0.172168545
AT170,2016,S_Mob_Bay,MobBay,400,490,M,N,0.04500083,0.308509632,0,0.021318609,0.17894878
AT177,2016,S_Mob_Bay,MobBay,455,555,M,N,0.175472642,0.151451352,0,0.021710123,0.188692143
AT178,2016,S_Mob_Bay,MobBay,544,655,M,N,0.075823248,0.246980932,0.001373094,0.018536773,0.146049701
AT179,2016,S_Mob_Bay,MobBay,600,682,F,N,0.118580536,0.065551697,0,0.019139619,0.124676953
AT118,2016,W_MS_Sound,MissSound,390,479,M,N,0.056704195,0.235168293,0.003049626,0.041963346,0.165250045
AT119,2016,W_MS_Sound,MissSound,385,480,F,N,0.031312801,0.331988639,0.000662005,0.012176673,0.138584481
AT120,2016,W_MS_Sound,MissSound,370,462,F,N,0.048548609,0.396269651,0.001159977,0.028134475,0.127838869
AT122,2016,W_MS_Sound,MissSound,360,441,F,N,0.034259012,0.30711254,0.000963167,0.011936386,0.137870414
AT123,2016,W_MS_Sound,MissSound,455,560,M,N,0.087000725,0.152552474,0.003106218,0.046485329,0.186493
AT124,2016,W_MS_Sound,MissSound,355,447,M,N,0.043150814,0.197667128,0.01434716,0.01645768,0.345775315
AT125,2016,W_MS_Sound,MissSound,367,458,F,N,0.048709002,0.198367092,0.006098058,0.07754481,0.162759046
AT126,2016,W_MS_Sound,MissSound,370,464,F,N,0.031934947,0.228328234,0.003931152,0.02790129,0.136601353
AT162,2016,W_MS_Sound,MissSound,375,460,M,N,0.072939244,0.213409098,0.002018942,0.021079906,0.139437513
AT163,2016,W_MS_Sound,MissSound,389,477,F,N,0.064025917,0.298967444,0.001384275,0.040377684,0.161708488
AT174,2016,W_MS_Sound,MissSound,480,570,F,N,0.048965584,0.53822297,0.019078727,0.293008663,0.138701171
AT175,2016,W_MS_Sound,MissSound,400,494,F,N,0.037426342,0.428363998,0,0.387364853,0.198398869
AT176,2016,W_MS_Sound,MissSound,378,469,M,N,0.038414924,0.477251709,0,0.00892991,0.131000291
AT184,2016,W_MS_Sound,MissSound,469,555,M,N,0.051534824,0.11395934,0,0.002834231,0.120716611
